User ID,Cycle Length,Cycle Day,Exercise Name,Exercise Intensity,Pain Level,Pred. Exercise,Pred. Intensity
1,29,1,Yoga,9,9,Walking,8
1,29,2,Abs & Waist,9,10,Sports,7
1,29,3,Yoga,7,6,Yoga,8
1,29,4,Back & Shoulders,1,3,Back & Shoulders,1
1,29,5,Walking,3,3,Walking,5
1,29,6,Arms,2,2,Arms,4
1,29,7,Legs & Glutes,6,6,Legs & Glutes,7
1,29,8,Yoga,7,8,Running,5
1,29,9,Legs & Glutes,5,3,Legs & Glutes,6
1,29,10,Yoga,9,7,Yoga,10
1,29,11,Abs & Waist,8,10,Arms,6
1,29,12,Legs & Glutes,1,0,Legs & Glutes,3
1,29,13,Walking,9,10,Sports,8
1,29,14,Abs & Waist,10,10,Yoga,7
1,29,15,Sports,7,9,Back & Shoulders,4
1,29,16,Back & Shoulders,1,0,Back & Shoulders,2
1,29,17,Running,8,8,Walking,6
1,29,18,Arms,6,8,Sports,5
1,29,19,Abs & Waist,3,5,Abs & Waist,4
1,29,20,Running,5,5,Running,6
1,29,21,Legs & Glutes,4,4,Legs & Glutes,4
1,29,22,Running,3,2,Running,3
1,29,23,Sports,5,6,Sports,5
1,29,24,Arms,4,6,Arms,6
1,29,25,Abs & Waist,1,0,Abs & Waist,3
1,29,26,Legs & Glutes,1,3,Legs & Glutes,3
1,29,27,Running,3,4,Running,5
1,29,28,Walking,10,10,Legs & Glutes,9
1,29,29,Arms,6,4,Arms,8
2,21,1,Legs & Glutes,8,10,Arms,6
2,21,2,Walking,3,3,Walking,3
2,21,3,Yoga,6,7,Yoga,7
2,21,4,Legs & Glutes,9,10,Running,8
2,21,5,Arms,2,4,Arms,3
2,21,6,Legs & Glutes,8,6,Legs & Glutes,9
2,21,7,Back & Shoulders,3,5,Back & Shoulders,3
2,21,8,Yoga,10,10,Abs & Waist,8
2,21,9,Yoga,4,3,Yoga,6
2,21,10,Abs & Waist,4,6,Abs & Waist,5
2,21,11,Yoga,10,10,Abs & Waist,8
2,21,12,Abs & Waist,5,3,Abs & Waist,6
2,21,13,Sports,8,8,Running,6
2,21,14,Sports,10,10,Running,9
2,21,15,Back & Shoulders,4,3,Back & Shoulders,6
2,21,16,Yoga,8,6,Yoga,8
2,21,17,Abs & Waist,8,10,Walking,7
2,21,18,Walking,9,10,Yoga,7
2,21,19,Abs & Waist,10,9,Yoga,8
2,21,20,Arms,3,3,Arms,3
2,21,21,Running,3,1,Running,3
3,21,1,Walking,3,2,Walking,5
3,21,2,Abs & Waist,9,7,Abs & Waist,10
3,21,3,Back & Shoulders,4,3,Back & Shoulders,6
3,21,4,Arms,2,1,Arms,2
3,21,5,Walking,6,5,Walking,8
3,21,6,Walking,3,1,Walking,3
3,21,7,Sports,9,9,Walking,8
3,21,8,Running,10,10,Arms,9
3,21,9,Walking,2,4,Walking,2
3,21,10,Sports,1,0,Sports,3
3,21,11,Walking,1,3,Walking,3
3,21,12,Abs & Waist,6,4,Abs & Waist,7
3,21,13,Walking,9,10,Abs & Waist,7
3,21,14,Abs & Waist,8,10,Walking,5
3,21,15,Abs & Waist,6,8,Arms,4
3,21,16,Back & Shoulders,3,1,Back & Shoulders,3
3,21,17,Running,2,2,Running,2
3,21,18,Arms,5,5,Arms,7
3,21,19,Walking,5,3,Walking,6
3,21,20,Legs & Glutes,1,0,Legs & Glutes,2
3,21,21,Legs & Glutes,2,3,Legs & Glutes,2
4,28,1,Yoga,2,1,Yoga,2
4,28,2,Legs & Glutes,8,9,Sports,5
4,28,3,Running,4,6,Running,5
4,28,4,Yoga,4,6,Yoga,6
4,28,5,Arms,9,9,Running,7
4,28,6,Legs & Glutes,10,10,Sports,9
4,28,7,Walking,5,3,Walking,5
4,28,8,Walking,4,6,Walking,4
4,28,9,Sports,10,10,Yoga,8
4,28,10,Abs & Waist,9,10,Walking,6
4,28,11,Running,10,10,Walking,7
4,28,12,Yoga,5,3,Yoga,7
4,28,13,Walking,6,4,Walking,7
4,28,14,Abs & Waist,7,7,Abs & Waist,8
4,28,15,Arms,2,4,Arms,2
4,28,16,Legs & Glutes,10,9,Arms,7
4,28,17,Back & Shoulders,3,3,Back & Shoulders,3
4,28,18,Abs & Waist,1,3,Abs & Waist,3
4,28,19,Walking,1,3,Walking,2
4,28,20,Legs & Glutes,5,7,Legs & Glutes,6
4,28,21,Arms,8,10,Yoga,5
4,28,22,Sports,4,4,Sports,5
4,28,23,Arms,8,10,Sports,7
4,28,24,Legs & Glutes,7,5,Legs & Glutes,9
4,28,25,Walking,9,8,Sports,8
4,28,26,Abs & Waist,5,6,Abs & Waist,6
4,28,27,Legs & Glutes,10,10,Back & Shoulders,9
4,28,28,Abs & Waist,7,9,Arms,5
5,32,1,Legs & Glutes,1,0,Legs & Glutes,1
5,32,2,Yoga,9,10,Walking,8
5,32,3,Walking,4,2,Walking,6
5,32,4,Yoga,5,7,Yoga,6
5,32,5,Running,5,3,Running,6
5,32,6,Yoga,4,2,Yoga,4
5,32,7,Abs & Waist,1,1,Abs & Waist,1
5,32,8,Sports,6,6,Sports,8
5,32,9,Abs & Waist,9,9,Walking,7
5,32,10,Back & Shoulders,8,8,Arms,5
5,32,11,Abs & Waist,6,8,Sports,5
5,32,12,Yoga,1,3,Yoga,1
5,32,13,Walking,7,6,Walking,8
5,32,14,Sports,6,6,Sports,8
5,32,15,Arms,8,8,Back & Shoulders,7
5,32,16,Yoga,10,10,Walking,8
5,32,17,Sports,8,6,Sports,8
5,32,18,Yoga,10,10,Arms,9
5,32,19,Back & Shoulders,1,0,Back & Shoulders,3
5,32,20,Sports,5,7,Sports,6
5,32,21,Running,8,9,Abs & Waist,5
5,32,22,Back & Shoulders,4,5,Back & Shoulders,6
5,32,23,Arms,3,1,Arms,5
5,32,24,Yoga,5,4,Yoga,6
5,32,25,Back & Shoulders,10,8,Legs & Glutes,7
5,32,26,Running,10,10,Legs & Glutes,7
5,32,27,Abs & Waist,10,8,Yoga,7
5,32,28,Yoga,2,2,Yoga,3
5,32,29,Back & Shoulders,7,5,Back & Shoulders,8
5,32,30,Sports,10,10,Walking,8
5,32,31,Legs & Glutes,4,3,Legs & Glutes,5
5,32,32,Back & Shoulders,1,0,Back & Shoulders,3
6,25,1,Abs & Waist,8,10,Yoga,6
6,25,2,Walking,5,6,Walking,7
6,25,3,Walking,8,9,Arms,6
6,25,4,Sports,5,4,Sports,5
6,25,5,Legs & Glutes,6,8,Back & Shoulders,4
6,25,6,Yoga,7,8,Walking,5
6,25,7,Legs & Glutes,7,6,Legs & Glutes,8
6,25,8,Abs & Waist,2,1,Abs & Waist,4
6,25,9,Legs & Glutes,2,2,Legs & Glutes,2
6,25,10,Sports,9,7,Sports,10
6,25,11,Running,10,10,Legs & Glutes,9
6,25,12,Abs & Waist,4,2,Abs & Waist,6
6,25,13,Legs & Glutes,10,8,Walking,7
6,25,14,Back & Shoulders,5,3,Back & Shoulders,7
6,25,15,Sports,9,8,Arms,7
6,25,16,Sports,7,5,Sports,7
6,25,17,Sports,4,4,Sports,5
6,25,18,Running,2,0,Running,4
6,25,19,Running,4,3,Running,4
6,25,20,Sports,4,4,Sports,4
6,25,21,Yoga,8,9,Arms,5
6,25,22,Walking,2,0,Walking,2
6,25,23,Sports,10,10,Walking,8
6,25,24,Walking,9,10,Legs & Glutes,6
6,25,25,Yoga,6,6,Yoga,7
7,23,1,Abs & Waist,3,5,Abs & Waist,3
7,23,2,Abs & Waist,5,4,Abs & Waist,5
7,23,3,Sports,7,5,Sports,7
7,23,4,Sports,9,10,Abs & Waist,7
7,23,5,Yoga,7,6,Yoga,8
7,23,6,Abs & Waist,1,3,Abs & Waist,2
7,23,7,Back & Shoulders,9,8,Legs & Glutes,6
7,23,8,Sports,4,5,Sports,4
7,23,9,Yoga,8,8,Sports,6
7,23,10,Walking,1,2,Walking,1
7,23,11,Yoga,8,7,Yoga,10
7,23,12,Yoga,3,5,Yoga,5
7,23,13,Arms,1,0,Arms,2
7,23,14,Arms,6,4,Arms,6
7,23,15,Walking,9,10,Legs & Glutes,7
7,23,16,Running,9,7,Running,9
7,23,17,Yoga,1,1,Yoga,3
7,23,18,Back & Shoulders,3,1,Back & Shoulders,5
